1,905,56
2,893,38
3,958,37
4,546,96
5,560,91
6,905,17
7,233,36
8,750,91
9,374,40
10,794,91
11,893,5
12,375,75
13,356,51
14,744,19
15,540,62
16,664,53
17,114,5
18,237,19
19,765,56
20,536,5
21,623,5
22,713,13
23,995,98
24,489,97
25,292,9
26,446,13
27,944,85
28,99,63
29,751,62
30,358,100
31,164,94
32,800,70
33,824,13
34,188,46
35,982,47
36,596,70
37,68,50
38,466,79
39,492,17
40,513,95
41,798,100
42,441,84
43,633,79
44,357,59
45,572,87
46,182,90
47,996,23
48,276,45
49,138,100
50,234,75
51,488,20
52,615,44
53,911,5
54,333,88
55,319,52
56,283,27
57,940,43
58,122,19
59,581,62
60,53,15
61,833,98
62,648,90
63,290,43
64,584,20
65,423,38
66,586,55
67,386,88
68,994,78
69,791,70
70,482,98
71,266,58
72,442,55
73,374,37
74,873,67
75,457,74
76,698,58
77,257,39
78,259,80
79,912,55
80,380,17
81,837,42
82,120,19
83,960,22
84,567,70
85,757,45
86,88,68
87,87,95
88,513,96
89,111,44
90,34,57
91,326,23
92,81,73
93,187,25
94,158,82
95,612,44
96,183,72
97,80,94
98,951,82
99,12,24
100,176,84
101,77,11
102,783,7
103,415,62
104,4,72
105,976,69
106,850,11
107,272,6
108,132,77
109,484,15
110,846,96
111,879,41
112,574,11
113,219,57
114,352,28
115,890,64
116,862,71
117,72,70
118,182,12
119,976,70
120,18,46
121,454,27
122,849,100
123,671,82
124,464,54
125,877,90
126,848,44
127,172,26
128,211,34
129,139,82
130,542,36
131,899,83
132,205,35
133,894,6
134,557,47
135,703,95
136,699,22
137,576,61
138,18,77
139,734,36
140,796,88
141,649,70
142,239,12
143,243,99
144,503,19
145,935,56
146,785,5
147,60,71
148,706,33
149,465,37
150,791,85
151,505,81
152,237,50
153,428,13
154,642,40
155,426,20
156,936,48
157,387,55
158,710,94
159,87,74
160,553,52
161,963,92
162,674,68
163,391,86
164,865,92
165,804,96
166,334,28
167,888,51
168,471,52
169,991,57
170,363,59
171,401,82
172,781,86
173,383,22
174,444,7
175,196,100
176,679,66
177,478,84
178,727,45
179,841,24
180,963,29
181,53,49
182,530,53
183,56,100
184,223,94
185,10,53
186,231,10
187,601,82
188,883,60
189,214,76
190,973,76
191,405,98
192,772,64
193,919,15
194,676,52
195,702,99
196,435,43
197,627,61
198,710,18
199,678,63
200,279,89
201,240,15
202,21,61
203,537,80
204,882,64
205,224,9
206,307,41
207,564,6
208,908,20
209,12,87
210,314,25
211,952,78
212,605,79
213,9,14
214,544,30
215,719,14
216,250,97
217,401,62
218,429,98
